DIM_PROF_MONT;TYPE_PROF_LME;PCRT_PROF_LME;NUTR;MOD_DBT_AILE_SUP;MOD_DBT_AME_SUP;FIABILITE;Histar;MOD_DBT_AILE_SUP_HISTAR;MOD_DBT_AME_SUP_HISTAR;RESP_MODIF;DTE_MODIF;FL_MODIF
260;HD;299;600;0;0;1;355;0;0;simQST;08/11/2023 10:16:11;A
260;HEB;0;821;10;0;2;355;0;0;simQST;08/11/2023 10:16:11;A
260;HEM;0;580;0;0;1;355;-10;-10;simQST;08/11/2023 10:16:11;A
260;HEM;0;831;-20;-20;1;355;-10;-10;simQST;08/11/2023 10:16:11;A
260;HD;299;510;0;0;1;355;0;-25;simQST;08/11/2023 10:16:11;A
260;HEB;0;730;20;10;1;460;20;10;simQST;08/11/2023 10:16:11;A
260;HEM;0;730;35;20;1;460;0;0;simQST;08/11/2023 10:16:11;A
260;HEA;0;730;10;10;1;460;10;10;simQST;08/11/2023 10:16:11;A
260;HEB;0;363;10;0;1;275;10;0;simQST;08/11/2023 10:16:11;A
260;HEM;0;363;-20;-20;1;275;-20;-20;simQST;08/11/2023 10:16:11;A
260;HD;225;430;-20;-20;1;275;-20;-20;simQST;08/11/2023 10:16:11;A
260;HD;114;580;0;0;1;355;0;0;simQST;08/11/2023 10:16:11;A
260;HD;142;570;0;0;2;355;0;0;simQST;08/11/2023 10:16:11;A
260;HEB;0;400;10;0;2;275;10;0;simQST;08/11/2023 10:16:11;A
260;HEB;0;560;0;0;2;355;0;0;simQST;08/11/2023 10:16:11;A
260;HEB;0;580;0;0;2;355;0;0;simQST;08/11/2023 10:16:11;A
260;HEB;0;620;0;0;2;460;20;10;simQST;08/11/2023 10:16:11;A
260;HEM;0;410;-20;-15;2;275;-20;-15;simQST;08/11/2023 10:16:11;A
260;HEM;0;430;-20;-15;2;275;-20;-15;simQST;08/11/2023 10:16:11;A
260;HEM;0;570;-10;-15;2;355;-10;-15;simQST;08/11/2023 10:16:11;A
260;HEM;0;590;-20;-25;2;355;-10;-15;simQST;08/11/2023 10:16:11;A
260;HEM;0;630;0;0;2;460;0;0;simQST;08/11/2023 10:16:11;A
260;HD;114;730;0;-5;1;460;0;-5;simQST;08/11/2023 10:16:11;A
260;HD;299;591;0;-25;1;355;0;-25;simQST;08/11/2023 10:16:11;A
260;HEB;0;540;0;0;2;355;0;0;simQST;08/11/2023 10:16:11;A
260;HEB;0;520;0;0;2;360;0;0;simQST;08/11/2023 10:16:11;A
260;HEB;0;631;15;10;1;460;20;10;simQST;08/11/2023 10:16:11;A
260;HEM;0;530;10;0;2;360;10;0;simQST;08/11/2023 10:16:11;A
260;HD;142;630;0;0;1;460;0;0;simQST;08/11/2023 10:16:11;A
280;HEA;0;730;0;10;1;460;0;10;simQST;08/11/2023 10:16:11;A
280;HEB;0;400;0;0;1;275;0;0;simQST;08/11/2023 10:16:11;A
280;HEB;0;420;0;0;1;275;0;0;simQST;08/11/2023 10:16:11;A
280;HEB;0;821;15;5;1;355;10;0;simQST;08/11/2023 10:16:11;A
280;HEM;0;430;-20;0;1;275;-20;0;simQST;08/11/2023 10:16:11;A
280;HEA;0;580;10;0;2;355;10;0;simQST;08/11/2023 10:16:11;A
280;HEM;0;831;-20;0;1;355;-20;0;simQST;08/11/2023 10:16:11;A
280;HEA;0;400;10;0;2;275;10;0;simQST;08/11/2023 10:16:11;A
280;HEA;0;560;10;0;2;355;10;0;simQST;08/11/2023 10:16:11;A
280;HEB;0;500;15;0;2;355;10;0;simQST;08/11/2023 10:16:11;A
280;HEB;0;560;10;0;2;355;10;0;simQST;08/11/2023 10:16:11;A
280;HEB;0;580;10;5;1;355;10;0;simQST;08/11/2023 10:16:11;A
280;HEM;0;410;-20;0;2;275;-20;0;simQST;08/11/2023 10:16:11;A
280;HEM;0;510;-20;0;2;355;-20;0;simQST;08/11/2023 10:16:11;A
280;HEM;0;570;-20;0;2;355;-20;0;simQST;08/11/2023 10:16:11;A
280;HEM;0;571;0;0;2;355;-20;0;simQST;08/11/2023 10:16:11;A
280;HEM;0;590;-20;0;2;355;-20;0;simQST;08/11/2023 10:16:11;A
280;HEM;0;630;0;0;2;460;0;0;simQST;08/11/2023 10:16:11;A
280;HEA;0;520;0;-5;2;360;0;-5;simQST;08/11/2023 10:16:11;A
280;HEB;0;520;15;15;2;360;15;15;simQST;08/11/2023 10:16:11;A
280;HEM;0;530;0;0;2;360;0;0;simQST;08/11/2023 10:16:11;A
300;HEA;0;420;0;0;1;275;0;0;simQST;08/11/2023 10:16:11;A
300;HEA;0;500;5;-5;2;355;15;0;simQST;08/11/2023 10:16:11;A
300;HEB;0;420;0;0;1;275;15;0;simQST;08/11/2023 10:16:11;A
300;HEB;0;631;5;0;1;460;15;0;simQST;08/11/2023 10:16:11;A
300;HEB;0;680;-10;0;1;460;15;0;simQST;08/11/2023 10:16:11;A
300;HEM;0;821;-20;0;1;355;-20;0;simQST;08/11/2023 10:16:11;A
300;HEC;0;590;-20;-20;1;355;-20;0;simQST;08/11/2023 10:16:11;A
300;HEC;0;641;-10;0;1;460;-10;0;simQST;08/11/2023 10:16:11;A
300;HEA;0;730;-10;0;2;460;-10;0;simQST;08/11/2023 10:16:11;A
300;HEM;0;560;10;0;1;355;-20;0;simQST;08/11/2023 10:16:11;A
300;HEM;0;500;15;0;1;355;-20;0;simQST;08/11/2023 10:16:11;A
300;HEA;0;413;0;0;1;355;10;0;simQST;08/11/2023 10:16:11;A
300;HEB;0;363;17;0;1;275;15;0;simQST;08/11/2023 10:16:11;A
300;HEB;0;413;15;0;1;355;10;0;simQST;08/11/2023 10:16:11;A
300;HEM;0;402;15;0;1;355;-20;0;simQST;08/11/2023 10:16:11;A
300;HEC;0;510;-20;0;1;355;-20;0;simQST;08/11/2023 10:16:11;A
300;HTM;798;881;0;0;1;550;0;0;simQST;08/11/2023 10:16:11;A
300;HEA;0;400;0;0;2;275;0;0;simQST;08/11/2023 10:16:11;A
300;HEA;0;560;15;0;2;355;15;0;simQST;08/11/2023 10:16:11;A
300;HEA;0;580;10;0;2;355;15;0;simQST;08/11/2023 10:16:11;A
300;HEA;0;620;15;15;2;460;-10;0;simQST;08/11/2023 10:16:11;A
300;HEA;0;821;15;0;2;355;15;0;simQST;08/11/2023 10:16:11;A
300;HEB;0;400;15;0;2;275;15;0;simQST;08/11/2023 10:16:11;A
300;HEB;0;500;15;0;2;355;10;0;simQST;08/11/2023 10:16:11;A
300;HEB;0;560;10;0;2;355;10;0;simQST;08/11/2023 10:16:11;A
300;HEB;0;580;10;0;2;355;10;0;simQST;08/11/2023 10:16:11;A
300;HEB;0;620;0;20;1;460;15;0;simQST;08/11/2023 10:16:11;A
300;HEB;0;821;10;0;2;355;10;0;simQST;08/11/2023 10:16:11;A
300;HEM;0;410;-20;-20;2;275;-20;-20;simQST;08/11/2023 10:16:11;A
300;HEM;0;430;-10;-10;2;275;-20;-20;simQST;08/11/2023 10:16:11;A
300;HEM;0;510;-5;0;2;355;-20;0;simQST;08/11/2023 10:16:11;A
300;HEM;0;570;-20;0;2;355;-20;0;simQST;08/11/2023 10:16:11;A
300;HEM;0;590;-20;0;2;355;-20;0;simQST;08/11/2023 10:16:11;A
300;HEM;0;630;-10;0;2;460;-10;0;simQST;08/11/2023 10:16:11;A
